date,affected,death,dncc_case,dncc_death,dscc_case,dscc_death,dhaka_case,dhaka_death
2022-01-01,,,0,0,,,,
2022-01-02,,,3,0,,,,
2022-01-03,,,1,0,,,,
2022-01-04,,,1,0,,,,
2022-01-05,,,0,0,,,,
2022-01-06,,,2,0,,,,
2022-01-07,,,0,0,,,,
2022-01-08,,,0,0,,,,
2022-01-09,,,0,0,,,,
2022-01-10,,,1,0,,,,
2022-01-11,,,0,0,,,,
2022-01-12,,,0,0,,,,
2022-01-13,,,1,0,,,,
2022-01-14,,,0,0,,,,
2022-01-15,,,1,0,,,,
2022-01-16,,,0,0,,,,
2022-01-17,,,1,0,,,,
2022-01-18,,,0,0,,,,
2022-01-19,,,1,0,,,,
2022-01-20,,,0,0,,,,
2022-01-21,,,0,0,,,,
2022-01-22,,,0,0,,,,
2022-01-23,,,0,0,,,,
2022-01-24,,,0,0,,,,
2022-01-25,,,1,0,,,,
2022-01-26,,,0,0,,,,
2022-01-27,,,0,0,,,,
2022-01-28,,,1,0,,,,
2022-01-29,,,0,0,,,,
2022-01-30,,,0,0,,,,
2022-01-31,,,0,0,,,,
2022-02-01,,,0,0,,,,
2022-02-02,,,1,0,,,,
2022-02-03,,,0,0,,,,
2022-02-04,,,0,0,,,,
2022-02-05,,,1,0,,,,
2022-02-06,,,1,0,,,,
2022-02-07,,,0,0,,,,
2022-02-08,,,0,0,,,,
2022-02-09,,,0,0,,,,
2022-02-10,,,0,0,,,,
2022-02-11,,,0,0,,,,
2022-02-12,,,0,0,,,,
2022-02-13,,,0,0,,,,
2022-02-14,,,0,0,,,,
2022-02-15,,,0,0,,,,
2022-02-16,,,0,0,,,,
2022-02-17,,,0,0,,,,
2022-02-18,,,0,0,,,,
2022-02-19,,,0,0,,,,
2022-02-20,,,0,0,,,,
2022-02-21,,,0,0,,,,
2022-02-22,,,0,0,,,,
2022-02-23,,,0,0,,,,
2022-02-24,,,0,0,,,,
2022-02-25,,,0,0,,,,
2022-02-26,,,0,0,,,,
2022-02-27,,,0,0,,,,
2022-02-28,,,0,0,,,,
